1137.777710	0.496745
1153.802856	0.536097
1170.285767	0.574657
1187.246338	0.626038
1204.705811	0.680902
1222.686523	0.743479
1241.212158	0.817636
1260.307739	0.907272
1280.000000	1.017866
1300.317383	1.157694
1321.290283	1.340027
1342.950806	1.587582
1365.333374	1.942771
1388.474609	2.494861
1412.413696	3.469209
1437.192871	5.643306
1462.857178	14.488741
1489.454590	20.616308
1517.036987	6.541060
1545.660278	3.860116
1575.384521	2.741162
1606.274536	2.124512
1638.400024	1.723727
1671.836670	1.340189
1706.666626	1.254229
1742.978638	1.356773
1780.869629	0.996889
1820.444458	0.898103
1861.818115	0.836321
1905.116211	0.805794
1950.476074	0.765701
1998.048828	0.719201
2048.000000	0.674207
