deviceQuery, CUDA Driver = CUDART, CUDA Driver Version = 4249427, CUDA Runtime Version = 3.0, NumDevs = 1, Device = GeForce GTX 480
deviceQuery, CUDA Driver = CUDART, CUDA Driver Version = 4249427, CUDA Runtime Version = 3.0, NumDevs = 1, Device = Tesla C1060
